interval_start_time,X,Y,dateTimeDayofTheWeek,year,month,day,hour,minute,people
2019-04-22 22:00:00,10.73397929,59.91301053,2,2019,4,22,22,0,579
2019-04-22 22:05:00,10.73397929,59.91301053,2,2019,4,22,22,5,571
2019-04-22 22:10:00,10.73397929,59.91301053,2,2019,4,22,22,10,570
2019-04-22 22:15:00,10.73397929,59.91301053,2,2019,4,22,22,15,545
2019-04-22 22:20:00,10.73397929,59.91301053,2,2019,4,22,22,20,544
2019-04-22 22:25:00,10.73397929,59.91301053,2,2019,4,22,22,25,507
2019-04-22 22:30:00,10.73397929,59.91301053,2,2019,4,22,22,30,491
2019-04-22 22:35:00,10.73397929,59.91301053,2,2019,4,22,22,35,482
2019-04-22 22:40:00,10.73397929,59.91301053,2,2019,4,22,22,40,492
2019-04-22 22:45:00,10.73397929,59.91301053,2,2019,4,22,22,45,480
2019-04-22 22:50:00,10.73397929,59.91301053,2,2019,4,22,22,50,453
2019-04-22 22:55:00,10.73397929,59.91301053,2,2019,4,22,22,55,418
2019-04-22 23:00:00,10.73397929,59.91301053,2,2019,4,22,23,0,399
2019-04-22 23:05:00,10.73397929,59.91301053,2,2019,4,22,23,5,366
2019-04-22 23:10:00,10.73397929,59.91301053,2,2019,4,22,23,10,341
2019-04-22 23:15:00,10.73397929,59.91301053,2,2019,4,22,23,15,293
2019-04-22 23:20:00,10.73397929,59.91301053,2,2019,4,22,23,20,295
2019-04-22 23:25:00,10.73397929,59.91301053,2,2019,4,22,23,25,307
2019-04-22 23:30:00,10.73397929,59.91301053,2,2019,4,22,23,30,282
2019-04-22 23:35:00,10.73397929,59.91301053,2,2019,4,22,23,35,270
2019-04-22 23:40:00,10.73397929,59.91301053,2,2019,4,22,23,40,266
2019-04-22 23:45:00,10.73397929,59.91301053,2,2019,4,22,23,45,251
2019-04-22 23:50:00,10.73397929,59.91301053,2,2019,4,22,23,50,244
2019-04-22 23:55:00,10.73397929,59.91301053,2,2019,4,22,23,55,224
2019-04-23 0:00:00,10.73397929,59.91301053,3,2019,4,23,0,0,242
2019-04-23 0:05:00,10.73397929,59.91301053,3,2019,4,23,0,5,227
2019-04-23 0:10:00,10.73397929,59.91301053,3,2019,4,23,0,10,228
2019-04-23 0:15:00,10.73397929,59.91301053,3,2019,4,23,0,15,230
2019-04-23 0:20:00,10.73397929,59.91301053,3,2019,4,23,0,20,240
2019-04-23 0:25:00,10.73397929,59.91301053,3,2019,4,23,0,25,244
2019-04-23 0:30:00,10.73397929,59.91301053,3,2019,4,23,0,30,251
2019-04-23 0:35:00,10.73397929,59.91301053,3,2019,4,23,0,35,241
2019-04-23 0:40:00,10.73397929,59.91301053,3,2019,4,23,0,40,238
2019-04-23 0:45:00,10.73397929,59.91301053,3,2019,4,23,0,45,215
2019-04-23 0:50:00,10.73397929,59.91301053,3,2019,4,23,0,50,221
2019-04-23 0:55:00,10.73397929,59.91301053,3,2019,4,23,0,55,208
2019-04-23 1:00:00,10.73397929,59.91301053,3,2019,4,23,1,0,232
2019-04-23 1:05:00,10.73397929,59.91301053,3,2019,4,23,1,5,222
2019-04-23 1:10:00,10.73397929,59.91301053,3,2019,4,23,1,10,210
2019-04-23 1:15:00,10.73397929,59.91301053,3,2019,4,23,1,15,203
2019-04-23 1:20:00,10.73397929,59.91301053,3,2019,4,23,1,20,198
2019-04-23 1:25:00,10.73397929,59.91301053,3,2019,4,23,1,25,194
2019-04-23 1:30:00,10.73397929,59.91301053,3,2019,4,23,1,30,181
2019-04-23 1:35:00,10.73397929,59.91301053,3,2019,4,23,1,35,178
2019-04-23 1:40:00,10.73397929,59.91301053,3,2019,4,23,1,40,170
2019-04-23 1:45:00,10.73397929,59.91301053,3,2019,4,23,1,45,153
2019-04-23 1:50:00,10.73397929,59.91301053,3,2019,4,23,1,50,139
2019-04-23 1:55:00,10.73397929,59.91301053,3,2019,4,23,1,55,125
2019-04-23 2:00:00,10.73397929,59.91301053,3,2019,4,23,2,0,34
2019-04-23 2:05:00,10.73397929,59.91301053,3,2019,4,23,2,5,42
2019-04-23 2:10:00,10.73397929,59.91301053,3,2019,4,23,2,10,53
2019-04-23 2:15:00,10.73397929,59.91301053,3,2019,4,23,2,15,55
2019-04-23 2:20:00,10.73397929,59.91301053,3,2019,4,23,2,20,47
2019-04-23 2:25:00,10.73397929,59.91301053,3,2019,4,23,2,25,48
2019-04-23 2:30:00,10.73397929,59.91301053,3,2019,4,23,2,30,61
2019-04-23 2:35:00,10.73397929,59.91301053,3,2019,4,23,2,35,63
2019-04-23 2:40:00,10.73397929,59.91301053,3,2019,4,23,2,40,62
2019-04-23 2:45:00,10.73397929,59.91301053,3,2019,4,23,2,45,50
2019-04-23 2:50:00,10.73397929,59.91301053,3,2019,4,23,2,50,48
2019-04-23 2:55:00,10.73397929,59.91301053,3,2019,4,23,2,55,45
2019-04-23 3:00:00,10.73397929,59.91301053,3,2019,4,23,3,0,40
2019-04-23 3:05:00,10.73397929,59.91301053,3,2019,4,23,3,5,40
2019-04-23 3:10:00,10.73397929,59.91301053,3,2019,4,23,3,10,41
2019-04-23 3:15:00,10.73397929,59.91301053,3,2019,4,23,3,15,41
2019-04-23 3:20:00,10.73397929,59.91301053,3,2019,4,23,3,20,38
2019-04-23 3:25:00,10.73397929,59.91301053,3,2019,4,23,3,25,39
2019-04-23 3:30:00,10.73397929,59.91301053,3,2019,4,23,3,30,39
2019-04-23 3:35:00,10.73397929,59.91301053,3,2019,4,23,3,35,35
2019-04-23 3:40:00,10.73397929,59.91301053,3,2019,4,23,3,40,40
2019-04-23 3:45:00,10.73397929,59.91301053,3,2019,4,23,3,45,36
2019-04-23 3:50:00,10.73397929,59.91301053,3,2019,4,23,3,50,41
2019-04-23 3:55:00,10.73397929,59.91301053,3,2019,4,23,3,55,41
2019-04-23 4:00:00,10.73397929,59.91301053,3,2019,4,23,4,0,34
2019-04-23 4:05:00,10.73397929,59.91301053,3,2019,4,23,4,5,34
2019-04-23 4:10:00,10.73397929,59.91301053,3,2019,4,23,4,10,31
2019-04-23 4:15:00,10.73397929,59.91301053,3,2019,4,23,4,15,31
2019-04-23 4:20:00,10.73397929,59.91301053,3,2019,4,23,4,20,32
2019-04-23 4:25:00,10.73397929,59.91301053,3,2019,4,23,4,25,32
2019-04-23 4:30:00,10.73397929,59.91301053,3,2019,4,23,4,30,32
2019-04-23 4:35:00,10.73397929,59.91301053,3,2019,4,23,4,35,36
2019-04-23 4:40:00,10.73397929,59.91301053,3,2019,4,23,4,40,39
2019-04-23 4:45:00,10.73397929,59.91301053,3,2019,4,23,4,45,39
2019-04-23 4:50:00,10.73397929,59.91301053,3,2019,4,23,4,50,39
2019-04-23 4:55:00,10.73397929,59.91301053,3,2019,4,23,4,55,39
2019-04-23 5:00:00,10.73397929,59.91301053,3,2019,4,23,5,0,38
2019-04-23 5:05:00,10.73397929,59.91301053,3,2019,4,23,5,5,38
2019-04-23 5:10:00,10.73397929,59.91301053,3,2019,4,23,5,10,35
2019-04-23 5:15:00,10.73397929,59.91301053,3,2019,4,23,5,15,35
